epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,23543,0.50454,0.32118,0.94965,0.99959,1,0.995,0.92262,0.45371,0.23382,0.81929,0.000548,0.000548,0.000548
46,24052.2,0.48788,0.31285,0.93973,0.99935,1,0.995,0.92232,0.44706,0.22811,0.81994,0.000515,0.000515,0.000515
47,24562,0.49195,0.30668,0.94444,0.99947,1,0.995,0.92173,0.43903,0.234,0.80977,0.000482,0.000482,0.000482
48,25071.7,0.48928,0.30398,0.9429,0.99047,1,0.99492,0.93271,0.43756,0.23421,0.81376,0.000449,0.000449,0.000449
49,25575.6,0.48411,0.30548,0.93766,0.99942,1,0.995,0.93014,0.43727,0.22301,0.81914,0.000416,0.000416,0.000416
50,26079.5,0.48502,0.30282,0.93634,0.99936,1,0.995,0.93049,0.4294,0.22172,0.82124,0.000383,0.000383,0.000383
51,26578.1,0.40954,0.23423,0.87665,0.99855,1,0.995,0.93035,0.4466,0.23949,0.81698,0.00035,0.00035,0.00035
52,27076.3,0.40472,0.22927,0.87143,0.99901,1,0.995,0.92688,0.46548,0.23224,0.82917,0.000317,0.000317,0.000317
53,27576.8,0.39486,0.22459,0.86508,0.99822,1,0.995,0.93267,0.44584,0.23583,0.81806,0.000284,0.000284,0.000284
54,28081.1,0.39331,0.22382,0.8643,0.99922,1,0.995,0.93086,0.44405,0.22406,0.81923,0.000251,0.000251,0.000251
55,28584.9,0.38852,0.2158,0.86452,0.99931,1,0.995,0.93645,0.43624,0.22377,0.81037,0.000218,0.000218,0.000218
56,29085.7,0.37333,0.21047,0.86296,0.9962,1,0.995,0.93704,0.43037,0.22242,0.80676,0.000185,0.000185,0.000185
57,29586.5,0.36964,0.20767,0.8564,0.99774,1,0.995,0.93445,0.42675,0.22125,0.80824,0.000152,0.000152,0.000152
58,30081,0.35904,0.20197,0.85177,0.9991,1,0.995,0.93319,0.42055,0.21424,0.80677,0.000119,0.000119,0.000119
59,30580.4,0.35962,0.20038,0.85947,0.99892,1,0.995,0.93256,0.42571,0.21535,0.8103,8.6e-05,8.6e-05,8.6e-05
60,31082.3,0.34967,0.19823,0.8451,0.9993,1,0.995,0.93351,0.42742,0.21167,0.81103,5.3e-05,5.3e-05,5.3e-05
